Proxy_IP,Proxy_Port
86.48.13.95,3128
172.67.181.11,80
44.190.9.101,48100
103.47.93.245,1080
203.24.109.230,80
149.20.253.107,12551
88.255.106.26,10820
181.170.240.139,5678
185.47.48.109,1025
51.89.14.193,8080
168.195.50.225,4153
187.210.136.88,4153
62.109.31.192,20000
45.76.79.7,7497
206.189.107.98,9160
104.24.206.207,13335
173.177.85.227,80
156.67.107.79,5678
197.234.13.52,36902
103.132.124.18,5678
196.15.237.171,1888
45.196.148.191,5432
35.196.18.239,80
37.186.5.16,5678
202.92.4.113,35528
172.104.145.22,9064
101.51.105.12,4145
103.70.159.128,5678
43.134.169.221,443
103.47.93.226,1080
110.77.163.63,4145
103.59.203.209,4145
202.29.237.187,7497
31.43.63.70,4145
160.226.139.135,1080
122.3.255.114,4145
119.18.152.139,4145
104.19.5.247,80
43.134.204.249,33126
120.50.40.184,3128
80.210.58.174,5678
203.24.109.80,80
186.47.23.6,5678
47.242.155.132,10900
103.47.94.97,1080
172.67.36.21,80
180.183.39.207,4153
160.0.203.99,1080
222.124.130.195,4145
45.7.176.78,52246
104.25.115.125,80
104.129.192.55,8800
2.81.216.239,4153
41.90.242.102,5678
47.117.138.120,1080
103.66.233.153,4145
185.66.59.192,42647
103.12.246.109,4145
102.141.91.245,5678
185.105.239.31,3128
212.5.132.74,5678
46.175.4.76,39574
119.13.125.238,1080
106.110.215.121,2829
62.244.227.65,4153
46.161.196.174,4145
188.138.139.216,4145
104.19.235.10,80
185.171.52.130,5678
110.78.152.196,5678
41.60.234.231,8080
202.142.167.210,1080
207.180.198.90,16791
181.66.37.200,4153
218.1.200.137,57114
192.210.196.222,10800
103.239.200.226,1337
43.130.199.69,443
183.89.113.160,8080
45.12.31.140,80
177.12.178.249,4153
171.97.107.83,4145
113.160.203.118,5678
72.194.234.87,5678
103.47.93.225,1080
102.176.180.6,4153
122.129.107.54,5678
185.36.132.223,9050
38.127.179.26,42908
186.1.7.13,4153
46.227.37.149,1088
110.78.141.80,4145
116.237.130.82,4145
200.152.107.102,1080
103.81.114.182,4145
138.118.213.213,4153
107.173.209.7,80
106.14.148.126,1080
157.185.157.151,26589
